LT_um,P_W,V_mm_s,H_um,Cost,Carbon,Efficiency,RD,Method
80,403.7929222745043,1149.8480996447486,109.13504446682433,4.06728543532879,0.08763654003757339,10.039097878785848,99.5000805183144,NSGA-II
80,403.3129118991821,1150.0,109.10645239953827,4.0624864390565625,0.08764080020285524,10.03779362075752,99.50037416548993,NSGA-II
80,401.5256399219487,1149.9465587846669,109.09972070123227,4.0446142815973225,0.08762374668009919,10.036707870780027,99.50026455598729,NSGA-II
80,400.74580545777036,1149.86314928469,109.10360372610485,4.03681599871037,0.08761540607875866,10.036337070304622,99.50007408705278,NSGA-II
80,400.2679487249281,1149.9933584040725,109.08521055696609,4.0320380343586555,0.08761316177221451,10.035781411249665,99.50013304147923,NSGA-II
80,399.74078942378765,1149.9997883632636,109.07256493965936,4.026767136949937,0.08761500058655877,10.034674127747728,99.50012639967187,NSGA-II
80,399.58834646269565,1149.799028218919,109.08115533172476,4.025242898866228,0.08762113249924532,10.033712511793127,99.50003420214443,NSGA-II
80,398.7703501245427,1149.8448005702749,109.05772374980516,4.0170641102717815,0.08762431807620706,10.031956529259427,99.50000708885304,NSGA-II
80,398.5020918448798,1149.9452433856998,109.03494511904923,4.014382480697797,0.08763098224203365,10.030737320197717,99.5001451597332,NSGA-II
80,397.91020711076794,1150.0,109.02212062327425,4.008464176273389,0.08762832390574501,10.030035097341232,99.50002230268326,NSGA-II
80,397.18445885184224,1149.7781774520217,108.99923869062508,4.001208744297527,0.08765283816724202,10.025995680429183,99.5000163089978,NSGA-II
80,397.1374107488117,1149.9507470633375,108.94835228819899,4.000740571275421,0.08767991473645527,10.02281912841073,99.50056152437146,NSGA-II
80,396.78033597679945,1149.9985675307976,108.927719807962,3.9971708350080606,0.08768756493504794,10.021337739484192,99.5006063058876,NSGA-II
80,395.9792277646226,1149.9380506206267,108.92726693697026,3.989159983698853,0.08768063169687727,10.020768720074578,99.5001611799698,NSGA-II
80,395.51672231310147,1149.5741836755947,108.92167233459108,3.9845364811884822,0.08770600544718236,10.017083404689451,99.50005557469449,NSGA-II
80,394.81575951669384,1150.0,108.86351946021915,3.97752871966292,0.08770993336920924,10.015443790340163,99.50015221971495,NSGA-II
80,394.49683469202915,1149.7895857794435,108.8484097948083,3.9743410459638207,0.08773341183562988,10.012221440857902,99.50017704409862,NSGA-II
80,394.14329290626665,1149.8576493706923,108.81046320125061,3.970807559838217,0.08775354647331848,10.0093234754821,99.50035617203955,NSGA-II
80,394.1210052833298,1149.4592952995959,108.83009525417104,3.9705849173504713,0.08776778871819049,10.007661167859787,99.50023015969693,NSGA-II
80,393.87830625521616,1150.0,108.760783103198,3.968160043497387,0.08777881330875953,10.005992045494216,99.50071463645344,NSGA-II
80,393.00924505450155,1150.0,108.75865372597657,3.959469552991667,0.08776759016549467,10.005796142789844,99.50003160148611,NSGA-II
80,392.99775179345886,1149.6112133616325,108.73529524318599,3.9593572751505706,0.08781595461809484,10.000265175980351,99.50043692910354,NSGA-II
80,392.44499478221445,1149.7173615935708,108.72517716251247,3.9538299218485546,0.08780778258148664,10.00025790608619,99.5000443179537,NSGA-II
80,391.77191784310924,1149.931107874105,108.65836007613815,3.9471022433381275,0.08783540823472187,9.995970270570957,99.50017325489347,NSGA-II
80,391.7694972773772,1149.7668464587287,108.67085421653627,3.947077882323665,0.08783782032118025,9.995691628361852,99.50007253073451,NSGA-II
80,391.7566760595543,1149.5003047827731,108.65962834887219,3.94695121944142,0.08786706922743119,9.992342072368915,99.50028664161303,NSGA-II
80,391.70433223792,1150.0,108.59889049088646,3.9464295544427386,0.08787722873576691,9.991097925161554,99.50081510361441,NSGA-II
80,391.251606217105,1150.0,108.59299168010874,3.9419026318344015,0.08787524957863105,9.990555234570005,99.50044859258074,NSGA-II
80,391.2151669870648,1149.6177735602112,108.62708732187161,3.941537590058651,0.08787633148762837,9.990370422024055,99.50012222562158,NSGA-II
80,390.991557509394,1149.66839846242,108.58639002108916,3.939303652229519,0.08790205552995102,9.987067288828904,99.5003804072536,NSGA-II
80,390.7765529306861,1150.0,108.54634571349995,3.937154769897164,0.08790591903737793,9.986263805641995,99.50054245527112,NSGA-II
80,389.8440895557599,1149.9981799271695,108.49867424676422,3.9278328743726227,0.0879307572626554,9.981862232663177,99.50013848286952,NSGA-II
